Date,Relative Location,Storm Geometry,Storm Motion,Prov,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/08/30,near Kola,ISOLATED_CELL,north at 35 km/h,MB,21:59,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearKola-MB-215953.cap,22:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearKola-MB-215953.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearKola-MB-215953.geojson
26/08/30,near Kola,ISOLATED_CELL,north at 35 km/h,SK,21:59,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearKola-SK-215953.cap,22:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearKola-SK-215953.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearKola-SK-215953.geojson
26/08/30,near Kola,ISOLATED_CELL,north at 35 km/h,MB,22:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearKola-MB-220155.cap,22:06,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearKola-MB-220155.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearKola-MB-220155.geojson
26/08/30,near Kola,ISOLATED_CELL,north at 35 km/h,SK,22:01,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearKola-SK-220155.cap,22:06,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearKola-SK-220155.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearKola-SK-220155.geojson
26/08/30,near Kelso,ISOLATED_CELL,northeast at 35 km/h,SK,22:03,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearKelso-SK-220346.cap,22:12,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearKelso-SK-220346.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearKelso-SK-220346.geojson
26/08/30,about 10 km southwest of Kola,ISOLATED_CELL,north at 35 km/h,MB,22:06,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-about10kmsouthwestofKola-MB-220626.cap,22:21,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-about10kmsouthwestofKola-MB-220626.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/about10kmsouthwestofKola-MB-220626.geojson
26/08/30,about 10 km southwest of Kola,ISOLATED_CELL,north at 35 km/h,SK,22:06,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-about10kmsouthwestofKola-SK-220626.cap,22:21,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-about10kmsouthwestofKola-SK-220626.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/about10kmsouthwestofKola-SK-220626.geojson
26/08/30,over Oxbow,ISOLATED_CELL,northeast at 50 km/h,SK,22:07,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overOxbow-SK-220713.cap,22:21,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overOxbow-SK-220713.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overOxbow-SK-220713.geojson
26/08/30,about 10 km west of Kelso,ISOLATED_CELL,northeast at 30 km/h,SK,22:12,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-about10kmwestofKelso-SK-221229.cap,22:31,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-about10kmwestofKelso-SK-221229.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/about10kmwestofKelso-SK-221229.geojson
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,MB,22:38,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-MB-223813.cap,22:53,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-MB-223813.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-MB-223813.geojson
